time;Azymut:;Kąt Pitch:;Kąt Roll:
0.017;177.749;4.243;-2.261
0.017;177.749;4.243;-2.261
0.017;177.760;4.243;-2.261
0.018;178.985;5.049;-2.708
0.018;178.985;5.049;-2.708
0.036;178.985;5.049;-2.708
0.036;177.667;5.559;-2.174
0.036;177.667;5.559;-2.174
0.049;177.667;5.559;-2.174
0.056;174.597;5.254;-0.975
0.056;174.597;5.254;-0.975
0.068;174.590;5.254;-0.975
0.078;175.150;4.863;-1.229
0.079;175.150;4.863;-1.229
0.088;175.173;4.863;-1.229
0.101;175.586;4.568;-1.412
0.102;175.586;4.568;-1.412
0.112;175.594;4.568;-1.412
0.116;175.977;4.067;-1.594
0.117;175.977;4.067;-1.594
0.129;175.967;4.067;-1.594
0.136;176.717;3.157;-1.927
0.136;176.717;3.157;-1.927
0.149;176.717;3.157;-1.927
0.156;176.833;3.422;-1.955
0.156;176.833;3.422;-1.955
0.168;176.833;3.422;-1.955
0.179;177.780;4.130;-2.273
0.179;177.780;4.130;-2.273
0.188;177.509;4.130;-2.273
0.196;177.547;4.584;-2.269
0.196;177.547;4.584;-2.269
0.209;177.547;4.584;-2.269
0.216;177.457;4.878;-2.221
0.217;177.457;4.878;-2.221
0.229;177.468;4.878;-2.221
0.236;176.341;4.259;-1.819
0.236;176.341;4.259;-1.819
0.249;176.349;4.259;-1.819
0.256;174.258;4.001;-1.040
0.256;174.258;4.001;-1.040
0.268;174.258;4.001;-1.040
0.279;175.059;3.781;-1.364
0.279;175.059;3.781;-1.364
0.288;175.084;3.781;-1.364
0.302;174.695;3.468;-1.245
0.302;174.695;3.468;-1.245
0.308;174.703;3.468;-1.245
0.316;174.954;3.315;-1.352
0.317;174.954;3.315;-1.352
0.329;174.954;3.315;-1.352
0.336;169.749;1.511;0.274
0.336;169.749;1.511;0.274
0.349;169.805;1.511;0.274
0.356;174.835;4.391;-1.203
0.356;174.835;4.391;-1.203
0.369;174.827;4.391;-1.203
0.379;180.000;5.457;-3.215
0.379;180.000;5.457;-3.215
0.388;-179.985;5.457;-3.215
0.396;-175.081;5.037;-5.173
0.397;-175.081;5.037;-5.173
0.409;-175.081;5.037;-5.173
0.416;175.441;5.429;-1.360
0.416;175.441;5.429;-1.360
0.429;175.449;5.429;-1.360
0.436;170.760;5.944;0.646
0.436;170.760;5.944;0.646
0.449;170.760;5.944;0.646
0.456;173.854;6.328;-0.616
0.456;173.854;6.328;-0.616
0.468;173.854;6.328;-0.616
0.480;176.238;6.782;-1.595
0.480;176.238;6.782;-1.595
0.489;176.238;6.782;-1.595
0.499;177.466;6.286;-2.142
0.499;177.466;6.286;-2.142
0.509;177.466;6.286;-2.142
0.517;-175.008;4.798;-5.174
0.518;-175.008;4.798;-5.174
0.531;-175.276;4.798;-5.174
0.537;172.080;1.042;-0.686
0.537;172.080;1.042;-0.686
0.549;172.356;1.042;-0.686
0.557;170.908;4.082;0.278
0.557;170.908;4.082;0.278
0.569;170.908;4.082;0.278
0.581;176.449;5.829;-1.749
0.581;176.449;5.829;-1.749
0.589;176.449;5.829;-1.749
0.599;-178.999;2.972;-3.565
0.599;-178.999;2.972;-3.565
0.609;-178.999;2.972;-3.565
0.618;166.238;-0.854;0.930
0.618;166.238;-0.854;0.930
0.632;166.238;-0.854;0.930
0.637;162.101;7.691;4.946
0.637;162.101;7.691;4.946
0.649;162.321;7.691;4.946
0.657;176.287;9.473;-1.351
0.657;176.287;9.473;-1.351
0.669;176.287;9.473;-1.351
0.681;-178.426;7.476;-3.784
0.681;-178.426;7.476;-3.784
0.689;-178.426;7.476;-3.784
0.699;177.782;5.149;-2.214
0.699;177.782;5.149;-2.214
0.709;177.771;5.149;-2.214
0.717;176.565;4.467;-1.772
0.718;176.565;4.467;-1.772
0.731;176.565;4.467;-1.772
0.737;171.375;3.049;0.049
0.737;171.375;3.049;0.049
0.749;171.375;3.049;0.049
0.757;172.404;2.996;-0.339
0.757;172.404;2.996;-0.339
0.769;172.404;2.996;-0.339
0.781;177.228;2.018;-2.146
0.781;177.228;2.018;-2.146
0.789;177.242;2.018;-2.146
0.799;-178.901;0.865;-3.462
0.799;-178.901;0.865;-3.462
0.809;-178.901;0.865;-3.462
0.816;-177.260;0.250;-3.969
0.817;-177.260;0.250;-3.969
0.831;-177.611;0.250;-3.969
0.837;-177.769;1.336;-3.961
0.837;-177.769;1.336;-3.961
0.849;-177.769;1.336;-3.961
0.857;176.913;3.434;-2.057
0.857;176.913;3.434;-2.057
0.869;176.913;3.434;-2.057
0.877;170.773;4.051;0.360
0.877;170.773;4.051;0.360
0.889;170.772;4.051;0.360
0.899;176.006;4.431;-1.654
0.900;176.006;4.431;-1.654
0.909;176.006;4.431;-1.654
0.917;-179.562;4.975;-3.390
0.917;-179.562;4.975;-3.390
0.932;-179.562;4.975;-3.390
0.937;-178.481;6.460;-3.860
0.938;-178.481;6.460;-3.860
0.949;-178.733;6.460;-3.860
0.957;178.430;5.477;-2.682
0.957;178.430;5.477;-2.682
0.969;178.443;5.477;-2.682
0.977;177.981;4.759;-2.518
0.977;177.981;4.759;-2.518
0.989;177.990;4.759;-2.518
0.999;174.857;4.547;-1.286
0.999;174.857;4.547;-1.286
1.009;174.588;4.547;-1.286
1.018;176.444;3.856;-2.063
1.018;176.444;3.856;-2.063
1.032;176.450;3.856;-2.063
1.037;174.062;3.332;-1.192
1.037;174.062;3.332;-1.192
1.049;174.062;3.332;-1.192
1.057;176.077;1.388;-2.086
1.057;176.077;1.388;-2.086
1.069;175.789;1.388;-2.086
1.077;178.298;1.008;-2.962
1.077;178.298;1.008;-2.962
1.089;178.298;1.008;-2.962
1.099;178.042;1.423;-2.862
1.099;178.042;1.423;-2.862
1.109;178.042;1.423;-2.862
1.117;174.821;4.258;-1.495
1.117;174.821;4.258;-1.495
1.132;174.845;4.258;-1.495
1.137;179.677;5.135;-3.404
1.137;179.677;5.135;-3.404
1.149;179.416;5.135;-3.404
1.157;179.996;5.629;-3.641
1.157;179.996;5.629;-3.641
1.169;179.979;5.629;-3.641
1.177;-179.407;5.658;-3.898
1.177;-179.407;5.658;-3.898
1.189;-179.664;5.658;-3.898
1.198;176.288;4.605;-2.258
1.199;176.288;4.605;-2.258
1.209;176.288;4.605;-2.258
1.217;175.992;3.273;-2.229
1.217;175.992;3.273;-2.229
1.232;175.712;3.273;-2.229
1.237;176.724;3.015;-2.631
1.237;176.724;3.015;-2.631
1.249;176.724;3.015;-2.631
1.257;177.880;4.494;-3.013
1.257;177.880;4.494;-3.013
1.269;177.629;4.494;-3.013
1.277;177.901;5.280;-3.094
1.277;177.901;5.280;-3.094
1.289;177.901;5.280;-3.094
1.298;174.918;4.966;-1.882
1.299;174.918;4.966;-1.882
1.309;174.895;4.966;-1.882
1.317;176.461;4.863;-2.528
1.317;176.461;4.863;-2.528
1.332;176.198;4.863;-2.528
1.337;176.421;5.674;-2.570
1.338;176.421;5.674;-2.570
1.349;176.421;5.674;-2.570
1.356;-179.747;7.074;-4.182
1.357;-179.747;7.074;-4.182
1.369;-179.747;7.074;-4.182
1.377;178.901;7.217;-3.582
1.377;178.901;7.217;-3.582
1.389;178.901;7.217;-3.582
1.399;175.945;7.344;-2.257
1.400;175.945;7.344;-2.257
1.409;175.707;7.344;-2.257
1.417;175.027;6.154;-2.050
1.417;175.027;6.154;-2.050
1.432;175.256;6.154;-2.050
1.437;175.923;6.351;-2.322
1.438;175.923;6.351;-2.322
1.449;175.687;6.351;-2.322
1.457;177.013;6.143;-2.902
1.457;177.013;6.143;-2.902
1.469;177.262;6.143;-2.902
1.477;176.813;6.801;-2.675
1.477;176.813;6.801;-2.675
1.489;176.813;6.801;-2.675
1.499;177.454;7.320;-2.933
1.500;177.454;7.320;-2.933
1.509;177.454;7.320;-2.933
1.517;176.020;7.475;-2.284
1.518;176.020;7.475;-2.284
1.532;176.020;7.475;-2.284
1.537;176.522;6.569;-2.561
1.538;176.522;6.569;-2.561
1.549;176.522;6.569;-2.561
1.557;174.279;5.681;-1.673
1.557;174.279;5.681;-1.673
1.569;174.534;5.681;-1.673
1.577;179.273;5.749;-3.653
1.577;179.273;5.749;-3.653
1.589;179.273;5.749;-3.653
1.599;177.676;5.920;-2.979
1.599;177.676;5.920;-2.979
1.609;177.686;5.920;-2.979
1.617;174.546;4.790;-1.751
1.617;174.546;4.790;-1.751
1.632;174.546;4.790;-1.751
1.636;174.153;3.726;-1.697
1.637;174.153;3.726;-1.697
1.649;174.454;3.726;-1.697
1.657;176.517;2.821;-2.554
1.657;176.517;2.821;-2.554
1.669;176.503;2.821;-2.554
1.677;-179.878;2.512;-3.902
1.677;-179.878;2.512;-3.902
1.689;-179.569;2.512;-3.902
1.700;177.159;3.509;-2.648
1.700;177.159;3.509;-2.648
1.709;177.159;3.509;-2.648
1.717;172.887;3.066;-1.032
1.718;172.887;3.066;-1.032
1.733;173.230;3.066;-1.032
1.737;174.845;1.665;-1.784
1.737;174.845;1.665;-1.784
1.749;175.156;1.665;-1.784
1.757;176.823;-0.386;-2.504
1.757;176.823;-0.386;-2.504
1.769;177.169;-0.386;-2.504
1.777;178.482;-1.085;-2.958
1.778;178.482;-1.085;-2.958
1.789;178.840;-1.085;-2.958
1.800;172.232;-1.476;-0.852
1.800;172.232;-1.476;-0.852
1.809;172.318;-1.476;-0.852
1.817;170.064;-2.247;-0.244
1.817;170.064;-2.247;-0.244
1.833;170.573;-2.247;-0.244
1.837;171.771;-4.317;-0.936
1.838;171.771;-4.317;-0.936
1.850;172.333;-4.317;-0.936
1.857;179.887;-5.999;-3.110
1.857;179.887;-5.999;-3.110
1.869;-178.895;-5.999;-3.110
1.877;172.659;-4.813;-0.462
1.877;172.659;-4.813;-0.462
1.889;174.441;-4.813;-0.462
1.900;174.009;-4.705;-0.299
1.900;174.009;-4.705;-0.299
1.909;175.089;-4.705;-0.299
1.917;173.667;-5.863;0.123
1.917;173.667;-5.863;0.123
1.933;173.864;-5.863;0.123
1.937;173.204;-5.029;0.492
1.937;173.204;-5.029;0.492
1.949;173.968;-5.029;0.492
1.957;176.590;-10.620;-1.007
1.957;176.590;-10.620;-1.007
1.969;177.651;-10.620;-1.007
1.976;-176.262;-17.134;-2.704
1.977;-176.262;-17.134;-2.704
1.989;-176.387;-17.134;-2.704
2.000;166.203;-13.108;3.149
2.000;166.203;-13.108;3.149
2.009;166.922;-13.108;3.149
2.017;168.798;-13.692;2.318
2.018;168.798;-13.692;2.318
2.033;168.966;-13.692;2.318
2.037;174.268;-16.332;-0.086
2.038;174.268;-16.332;-0.086
2.049;174.858;-16.332;-0.086
2.057;179.792;-19.329;-1.865
2.057;179.792;-19.329;-1.865
2.069;179.651;-19.329;-1.865
2.077;170.793;-19.727;0.795
2.077;170.793;-19.727;0.795
2.089;173.690;-19.727;0.795
2.100;176.180;-24.358;-0.422
2.103;176.180;-24.358;-0.422
2.109;175.848;-24.358;-0.422
2.117;170.181;-25.490;0.847
2.118;170.181;-25.490;0.847
2.133;172.222;-25.490;0.847
2.137;169.284;-26.887;1.298
2.139;169.284;-26.887;1.298
2.151;170.199;-26.887;1.298
2.157;162.776;-26.897;3.183
2.157;162.776;-26.897;3.183
2.170;164.629;-26.897;3.183
2.177;161.578;-26.434;4.297
2.178;161.578;-26.434;4.297
2.189;164.263;-26.434;4.297
2.200;175.076;-29.536;0.229
2.200;175.076;-29.536;0.229
2.209;176.096;-29.536;0.229
2.217;168.412;-34.849;0.976
2.217;168.412;-34.849;0.976
2.233;171.356;-34.849;0.976
2.237;172.492;-33.340;1.002
2.237;172.492;-33.340;1.002
2.250;175.056;-33.340;1.002
2.257;177.253;-37.216;0.172
2.257;177.253;-37.216;0.172
2.269;176.575;-37.216;0.172
2.277;-166.694;-40.078;-2.009
2.277;-166.694;-40.078;-2.009
2.289;-171.335;-40.078;-2.009
2.300;-169.676;-40.480;-2.134
2.300;-169.676;-40.480;-2.134
2.309;-172.342;-40.480;-2.134
2.317;149.891;-42.432;3.350
2.318;149.891;-42.432;3.350
2.333;147.216;-42.432;3.350
2.337;-162.360;-40.640;-3.782
2.337;-162.360;-40.640;-3.782
2.349;-167.097;-40.640;-3.782
2.357;166.836;-37.053;1.991
2.357;166.836;-37.053;1.991
2.369;167.278;-37.053;1.991
2.377;167.709;-36.338;2.098
2.378;167.709;-36.338;2.098
2.389;168.717;-36.338;2.098
2.401;172.146;-35.411;1.368
2.401;172.146;-35.411;1.368
2.409;171.673;-35.411;1.368
2.417;-174.655;-34.812;-2.497
2.418;-174.655;-34.812;-2.497
2.434;-175.465;-34.812;-2.497
2.437;-165.783;-37.558;-4.470
