time;Azymut:;Kąt Pitch:;Kąt Roll:
0.010;171.460;2.479;1.411
0.011;171.460;2.479;1.411
0.011;171.154;2.479;1.411
0.019;176.977;2.960;-0.836
0.019;176.977;2.960;-0.836
0.032;177.248;2.960;-0.836
0.044;177.479;2.105;-0.964
0.044;177.479;2.105;-0.964
0.051;177.198;2.105;-0.964
0.058;177.649;2.044;-1.138
0.058;177.649;2.044;-1.138
0.070;177.643;2.044;-1.138
0.075;178.793;1.589;-1.583
0.075;178.793;1.589;-1.583
0.090;178.793;1.589;-1.583
0.096;177.820;1.548;-1.223
0.096;177.820;1.548;-1.223
0.109;177.831;1.548;-1.223
0.116;178.030;1.649;-1.294
0.116;178.030;1.649;-1.294
0.133;178.014;1.649;-1.294
0.135;176.978;0.804;-0.952
0.136;176.978;0.804;-0.952
0.150;176.994;0.804;-0.952
0.155;176.255;0.817;-0.685
0.155;176.255;0.817;-0.685
0.170;176.255;0.817;-0.685
0.175;177.113;1.785;-0.946
0.175;177.113;1.785;-0.946
0.190;177.099;1.785;-0.946
0.195;177.496;2.287;-1.073
0.195;177.496;2.287;-1.073
0.210;177.496;2.287;-1.073
0.216;177.490;1.599;-1.101
0.217;177.490;1.599;-1.101
0.233;177.490;1.599;-1.101
0.235;177.455;1.484;-1.093
0.235;177.455;1.484;-1.093
0.251;177.455;1.484;-1.093
0.255;176.268;1.725;-0.637
0.255;176.268;1.725;-0.637
0.270;176.268;1.725;-0.637
0.275;175.375;1.896;-0.288
0.275;175.375;1.896;-0.288
0.293;175.375;1.896;-0.288
0.295;-179.877;0.742;-2.078
0.295;-179.877;0.742;-2.078
0.310;-179.587;0.742;-2.078
0.316;-178.105;0.723;-2.607
0.316;-178.105;0.723;-2.607
0.330;-178.405;0.723;-2.607
0.335;179.836;0.773;-1.979
0.335;179.836;0.773;-1.979
0.350;-179.864;0.773;-1.979
0.355;178.849;1.125;-1.512
0.355;178.849;1.125;-1.512
0.370;178.857;1.125;-1.512
0.375;176.938;1.462;-0.796
0.376;176.938;1.462;-0.796
0.390;176.938;1.462;-0.796
0.396;175.285;1.569;-0.174
0.396;175.285;1.569;-0.174
0.409;175.285;1.569;-0.174
0.416;177.353;1.886;-0.930
0.416;177.353;1.886;-0.930
0.430;177.630;1.886;-0.930
0.435;178.047;3.002;-1.048
0.435;178.047;3.002;-1.048
0.450;178.047;3.002;-1.048
0.455;176.234;3.877;-0.277
0.455;176.234;3.877;-0.277
0.470;176.234;3.877;-0.277
0.475;166.740;0.686;2.957
0.476;166.740;0.686;2.957
0.490;166.672;0.686;2.957
0.496;176.289;0.295;-0.536
0.496;176.289;0.295;-0.536
0.510;176.289;0.295;-0.536
0.518;175.933;2.227;-0.277
0.518;175.933;2.227;-0.277
0.530;175.936;2.227;-0.277
0.536;-178.346;3.616;-2.477
0.537;-178.346;3.616;-2.477
0.553;-178.072;3.616;-2.477
0.555;-178.562;3.995;-2.290
0.556;-178.562;3.995;-2.290
0.570;-178.555;3.995;-2.290
0.576;171.398;3.823;1.770
0.576;171.398;3.823;1.770
0.591;171.392;3.823;1.770
0.596;167.537;5.734;3.778
0.597;167.537;5.734;3.778
0.610;167.721;5.734;3.778
0.618;177.533;7.185;-0.474
0.619;177.533;7.185;-0.474
0.630;177.526;7.185;-0.474
0.637;174.685;8.174;0.906
0.637;174.685;8.174;0.906
0.652;174.685;8.174;0.906
